LOCATION,Country,VARIABLE,Variable,FREQUENCY,Frequency,TIME,Time,Value,Flag,Codes,Flags,,,,,
COL,Colombia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,22.69892025,,,,,,,,
COL,Colombia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,4.219306337,
COL,Colombia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,8.60948941,
COL,Colombia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,19.3049225,
COL,Colombia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,26.52215718,
EST,Estonia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W22,5-Jun-22,3.52412768,,,,,,,,
EST,Estonia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,12.37790569,,,,,,,,
EST,Estonia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,0.76616997,
EST,Estonia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,5.829403927,
EST,Estonia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,9.670388478,
EST,Estonia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,14.76698343,
IND,India,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W22,5-Jun-22,12.98150797,,,,,,,,
IND,India,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,24.08949095,,,,,,,,
IND,India,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,10.85569052,
IND,India,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,15.45141298,
IND,India,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,18.84241813,
IND,India,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,29.34129084,
IDN,Indonesia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W22,5-Jun-22,7.83857351,,,,,,,,
IDN,Indonesia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,15.62007202,,,,,,,,
IDN,Indonesia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,6.072023744,
IDN,Indonesia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,12.34014902,
IDN,Indonesia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,10.53956633,
IDN,Indonesia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,21.71701781,
ISR,Israel,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W22,5-Jun-22,5.062223197,,,,,,,,
ISR,Israel,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,15.7667958,,,,,,,,
ISR,Israel,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,3.553222708,
ISR,Israel,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,6.821079087,
ISR,Israel,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,11.78491065,
ISR,Israel,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,18.66541966,
LVA,Latvia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W22,5-Jun-22,5.234904874,,,,,,,,
LVA,Latvia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,14.17330369,,,,,,,,
LVA,Latvia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,3.596328199,
LVA,Latvia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,8.391926586,
LVA,Latvia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,10.60348274,
LVA,Latvia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,17.7064382,
LTU,Lithuania,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W22,5-Jun-22,3.923781147,,,,,,,,
LTU,Lithuania,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,11.01206615,,,,,,,,
LTU,Lithuania,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,2.080507846,
LTU,Lithuania,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,6.902050881,
LTU,Lithuania,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,8.69213127,
LTU,Lithuania,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,13.45476851,
ROU,Romania,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W22,5-Jun-22,4.304803592,,,,,,,,
ROU,Romania,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,13.55463249,,,,,,,,
ROU,Romania,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,3.298180593,
ROU,Romania,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,6.242756362,
ROU,Romania,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,9.487006148,
ROU,Romania,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,18.59977069,
SVN,Slovenia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W22,5-Jun-22,5.964551333,,,,,,,,
SVN,Slovenia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,14.11598036,,,,,,,,
SVN,Slovenia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,2.804830845,
SVN,Slovenia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,8.595969588,
SVN,Slovenia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,9.788176391,
SVN,Slovenia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,19.52846726,
ZAF,South,Africa,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W22,5-Jun-22,3.55522538,,,,,,,
ZAF,South,Africa,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W22,5-Jun-22,15.9365465,,,,,,,
ZAF,South,Africa,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,2.759366067
ZAF,South,Africa,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,4.703684711
ZAF,South,Africa,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W22,5-Jun-22,13.4218704
ZAF,South,Africa,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W22,5-Jun-22,17.47462288
AUS,Australia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,2.896678173,,,,,,,,
AUS,Australia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,8.566617901,,,,,,,,
AUS,Australia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,1.653074557,
AUS,Australia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,3.419082263,
AUS,Australia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,6.285451538,
AUS,Australia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,10.09562884,
AUT,Austria,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,5.120706246,,,,,,,,
AUT,Austria,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,9.494151854,,,,,,,,
AUT,Austria,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,2.808442296,
AUT,Austria,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,6.631414777,
AUT,Austria,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,6.950190244,
AUT,Austria,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,12.29508772,
BEL,Belgium,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,3.07673841,,,,,,,,
BEL,Belgium,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,8.072700811,,,,,,,,
BEL,Belgium,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,1.557742514,
BEL,Belgium,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,4.89796994,
BEL,Belgium,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,6.356588216,
BEL,Belgium,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,9.933179237,
CAN,Canada,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,4.874808003,,,,,,,,
CAN,Canada,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,11.98562689,,,,,,,,
CAN,Canada,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,3.839429579,
CAN,Canada,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,5.283227422,
CAN,Canada,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,9.954272293,
CAN,Canada,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,14.18705395,
CZE,Czechia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,4.508356831,,,,,,,,
CZE,Czechia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,9.511718889,,,,,,,,
CZE,Czechia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,3.120201281,
CZE,Czechia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,7.457522521,
CZE,Czechia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,6.921219432,
CZE,Czechia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,10.97146132,
DNK,Denmark,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,4.33353724,,,,,,,,
DNK,Denmark,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,10.15883641,,,,,,,,
DNK,Denmark,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,2.807405601,
DNK,Denmark,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,5.770010627,
DNK,Denmark,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,8.491638536,
DNK,Denmark,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,11.94861656,
FIN,Finland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,1.271144632,,,,,,,,
FIN,Finland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,6.320254114,,,,,,,,
FIN,Finland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,-0.15805011,
FIN,Finland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,2.838548197,
FIN,Finland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,4.662957441,
FIN,Finland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,7.88337167,
FRA,France,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,2.534084773,,,,,,,,
FRA,France,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,8.239106314,,,,,,,,
FRA,France,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,1.808752478,
FRA,France,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,3.271188422,
FRA,France,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,6.391871514,
FRA,France,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,11.20268938,
DEU,Germany,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,3.29689675,,,,,,,,
DEU,Germany,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,6.044125662,,,,,,,,
DEU,Germany,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,1.535374637,
DEU,Germany,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,5.868882673,
DEU,Germany,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,3.889087777,
DEU,Germany,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,8.109580752,
GRC,Greece,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,5.244054424,,,,,,,,
GRC,Greece,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,15.39082592,,,,,,,,
GRC,Greece,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,3.962427729,
GRC,Greece,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,6.284715901,
GRC,Greece,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,9.664471292,
GRC,Greece,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,17.70919718,
HUN,Hungary,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,5.39018654,,,,,,,,
HUN,Hungary,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,15.78883753,,,,,,,,
HUN,Hungary,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,3.77067497,
HUN,Hungary,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,7.717115076,
HUN,Hungary,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,10.80710472,
HUN,Hungary,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,18.65499492,
ISL,Iceland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,9.261368602,,,,,,,,
ISL,Iceland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,14.56194624,,,,,,,,
ISL,Iceland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,7.219518804,
ISL,Iceland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,11.63642628,
ISL,Iceland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,10.96603931,
ISL,Iceland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,18.30485386,
IRL,Ireland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,6.683144407,,,,,,,,
IRL,Ireland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,15.76453981,,,,,,,,
IRL,Ireland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,4.441137141,
IRL,Ireland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,9.905180124,
IRL,Ireland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,11.91605638,
IRL,Ireland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,19.78346614,
ITA,Italy,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,4.428199972,,,,,,,,
ITA,Italy,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,11.21223308,,,,,,,,
ITA,Italy,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,3.223304108,
ITA,Italy,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,5.386470983,
ITA,Italy,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,9.528762658,
ITA,Italy,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,12.13260146,
JPN,Japan,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,3.278258196,,,,,,,,
JPN,Japan,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,6.192473828,,,,,,,,
JPN,Japan,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,1.580942212,
JPN,Japan,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,4.796497877,
JPN,Japan,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,4.063474054,
JPN,Japan,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,8.916602398,
KOR,Korea,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,3.824881596,,,,,,,,
KOR,Korea,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,8.518044277,,,,,,,,
KOR,Korea,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,2.929145453,
KOR,Korea,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,4.797644494,
KOR,Korea,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,7.32962124,
KOR,Korea,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,10.4569072,
LUX,Luxembourg,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,2.686175959,,,,,,,,
LUX,Luxembourg,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,13.91906863,,,,,,,,
LUX,Luxembourg,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,0.913335048,
LUX,Luxembourg,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,5.041006607,
LUX,Luxembourg,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,9.859053106,
LUX,Luxembourg,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,17.94838443,
MEX,Mexico,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,1.614388083,,,,,,,,
MEX,Mexico,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,15.25615015,,,,,,,,
MEX,Mexico,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,0.951792358,
MEX,Mexico,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,2.102677143,
MEX,Mexico,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,11.43023207,
MEX,Mexico,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,17.24711629,
NLD,Netherlands,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,4.417381473,,,,,,,,
NLD,Netherlands,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,10.75856226,,,,,,,,
NLD,Netherlands,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,3.57620202,
NLD,Netherlands,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,5.72180895,
NLD,Netherlands,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,9.191838906,
NLD,Netherlands,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,13.557877,
NZL,New,Zealand,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,1.68462778,,,,,,,
NZL,New,Zealand,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,7.470958411,,,,,,,
NZL,New,Zealand,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,-0.477762201
NZL,New,Zealand,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,3.985409093
NZL,New,Zealand,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,6.321556162
NZL,New,Zealand,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,9.586851726
NOR,Norway,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,4.960613174,,,,,,,,
NOR,Norway,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,12.2542695,,,,,,,,
NOR,Norway,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,3.065355099,
NOR,Norway,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,7.592448986,
NOR,Norway,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W23,12-Jun-22,10.4236871,
NOR,Norway,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W23,12-Jun-22,14.10586711,
POL,Poland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W23,12-Jun-22,4.862529995,,,,,,,,
POL,Poland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W23,12-Jun-22,10.7588918,,,,,,,,
